"";"Variables";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"Pippip";"(Intercept)";"4.6722334911676";"0.292276012477802";"15.9856891831739";"1.60778915413198e-57"
"Pippip";"JJulien_scaled";"0.3964417803288";"0.097641618031941";"4.0601721716565";"4.90365431704337e-05"
"Pippip";"I(JJulien_scaled^2)";"-0.582293464590771";"0.0922385023864446";"-6.3129110894622";"2.73834836656598e-10"
"Pippip";"PaysageF";"0.819031964216328";"0.379679281461473";"2.1571679156779";"0.0309925833890845"
"Pippip";"PaysageFE";"0.665410973828843";"0.388020145286967";"1.71488769825785";"0.0863658184999956"
"Pippip";"PaysageDPT";"0.441642070616574";"0.386215320775432";"1.14351256115334";"0.252825842452511"
"Pippip";"PaysageSPT";"-0.162659139080439";"0.404045050937707";"-0.402576739160497";"0.687259624421958"
"Pippip";"PaysagePT";"2.22438264987925";"0.388225755781262";"5.72961122943255";"1.00661066928987e-08"
"Pippip";"D_houppier_scaled";"-0.293076410836414";"0.13146354171608";"-2.22933603500024";"0.0257915547258462"
"Pip35";"(Intercept)";"5.50291721578952";"0.194981199629556";"28.2228093079974";"3.07017719361896e-175"
"Pip35";"JJulien_scaled";"-0.0910989414026174";"0.129341556433303";"-0.704328476591309";"0.481228236262053"
"Pip35";"I(JJulien_scaled^2)";"-0.500493608526965";"0.123705675740454";"-4.04584191898395";"5.21354076296885e-05"
"Pippyg";"(Intercept)";"3.03268716054196";"0.439356873668472";"6.90255995136735";"5.10736559328452e-12"
"Pippyg";"JJulien_scaled";"0.739456896701885";"0.139499470629604";"5.30078639986581";"1.15304929145875e-07"
"Pippyg";"I(JJulien_scaled^2)";"0.0700439378898531";"0.125583878962179";"0.557746252693369";"0.577017668946866"
"Pippyg";"D_houppier_scaled";"-0.8046727002745";"0.198509665534464";"-4.05356937209084";"5.04420324901657e-05"
"Pippyg";"PaysageF";"0.0586167125153105";"0.577675107684987";"0.101470033476455";"0.919177344576703"
"Pippyg";"PaysageFE";"0.144916617110981";"0.591905074545051";"0.244830840861377";"0.806587412949762"
"Pippyg";"PaysageDPT";"0.615719446417421";"0.585163873805817";"1.05221712067233";"0.292699946287545"
"Pippyg";"PaysageSPT";"-0.107608395781552";"0.607579461837759";"-0.177109995548675";"0.859421990733065"
"Pippyg";"PaysagePT";"1.87101854833297";"0.590378439999099";"3.16918508801884";"0.00152867013611329"
"Hypsav";"(Intercept)";"2.64100625239713";"0.50152274482974";"5.26597503228635";"1.39447237104712e-07"
"Hypsav";"JJulien_scaled";"-0.213666718872755";"0.176771758013888";"-1.20871524542946";"0.226772262558926"
"Hypsav";"I(JJulien_scaled^2)";"-0.991077620913983";"0.194939346965984";"-5.08403068102471";"3.69508211172322e-07"
"Hypsav";"PaysageF";"0.631585189878966";"0.640916875134876";"0.985440100552906";"0.324407940418064"
"Hypsav";"PaysageFE";"0.75767177418035";"0.634423120748704";"1.19426885528099";"0.232372816425856"
"Hypsav";"PaysageDPT";"-0.198904723154533";"0.624006339947951";"-0.318754330558763";"0.749912812025943"
"Hypsav";"PaysageSPT";"-1.35330836950194";"0.670753937003097";"-2.01759288294076";"0.0436336787060724"
"Hypsav";"PaysagePT";"-1.41856068130696";"0.671638475352322";"-2.11208966336067";"0.0346787594241328"
"Minsch";"(Intercept)";"-0.167097767855079";"0.557485351384675";"-0.29973481355168";"0.764379441426564"
"Minsch";"JJulien_scaled";"0.42267229232533";"0.154454678455992";"2.73654573982854";"0.00620879628939842"
"Minsch";"I(JJulien_scaled^2)";"0.360202325559039";"0.136194183827409";"2.64477024962756";"0.00817464001360362"
"Minsch";"PaysageF";"3.34371552773441";"0.70718901384214";"4.7281779867706";"2.26543557839248e-06"
"Minsch";"PaysageFE";"3.33784899342595";"0.720224203758548";"4.63445823676449";"3.57873471442132e-06"
"Minsch";"PaysageDPT";"1.03508975463147";"0.72392312363316";"1.42983380533096";"0.152764724124353"
"Minsch";"PaysageSPT";"2.14759421784782";"0.75222051586198";"2.85500617513318";"0.00430359921538322"
"Minsch";"PaysagePT";"3.2616463529706";"0.724835576115853";"4.49984308227343";"6.80036428555654e-06"
"Minsch";"D_houppier_scaled";"-0.580621068304588";"0.234964451865095";"-2.47110175048076";"0.0134697487273759"
"Nyclei";"(Intercept)";"2.24385488450778";"0.218679350087575";"10.2609363143304";"1.05677045160287e-24"
"Nyclei";"JJulien_scaled";"0.398874086178964";"0.143128058877984";"2.78683361813076";"0.00532257992046708"
"Nyclei";"I(JJulien_scaled^2)";"0.278042849665377";"0.137586779358713";"2.02085440884164";"0.0432948385846752"
"Nyclei";"D_houppier_scaled";"-0.909090035514362";"0.169427613321941";"-5.3656544980477";"8.06562053750356e-08"
"MyoGT";"(Intercept)";"0.321534477248468";"0.386691323335424";"0.831501659967587";"0.405690290882716"
"MyoGT";"JJulien_scaled";"-0.848459473290419";"0.276907533676375";"-3.06405341171405";"0.00218359921114371"
"MyoGT";"I(JJulien_scaled^2)";"-0.753087573450845";"0.229948357768963";"-3.27502914461993";"0.00105651073339476"
"MyoGT";"H_veg_scaled";"1.20974915259172";"0.327599567754226";"3.69276785340359";"0.000221826502288479"
