"";"Variables";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"Pippip";"(Intercept)";"-0.694621631606602";"0.119247687553334";"-5.82503229922955";"5.71015551627029e-09"
"Pippip";"JJulien_scaled";"0.197679124247944";"0.104607422433687";"1.88972368928465";"0.0587949241291066"
"Pippip";"I(JJulien_scaled^2)";"-0.107184509026935";"0.0957804595198968";"-1.11906446851687";"0.263112636750076"
"Pippip";"N_vehi_nuit_1200_scaled";"0.596299661366708";"0.104614250300994";"5.69998503694334";"1.19817944371568e-08"
"Pippip";"H_veg_scaled";"0.182418839618106";"0.0873744387610112";"2.08778267654528";"0.0368174429328562"
"Pip35";"(Intercept)";"-0.664310121043587";"0.0948507990954451";"-7.0037377373607";"2.49222445965017e-12"
"Pip35";"JJulien_scaled";"-0.00610899076135021";"0.098799076371834";"-0.0618324683356229";"0.950696246954905"
"Pip35";"I(JJulien_scaled^2)";"0.0678505582288428";"0.09379150330042";"0.723419028816643";"0.469422483934741"
"Pip35";"N_vehi_nuit_1200_scaled";"0.786767925484593";"0.0879169414675964";"8.94899108580309";"3.587461273862e-19"
"Pippyg";"(Intercept)";"-0.893797530245645";"0.143864850333215";"-6.21275821144264";"5.20625288845548e-10"
"Pippyg";"JJulien_scaled";"0.0462564906371979";"0.122598014950782";"0.377302117458983";"0.705949098772035"
"Pippyg";"I(JJulien_scaled^2)";"0.0791313469595902";"0.105436218416285";"0.750513895018151";"0.452945258352474"
"Pippyg";"N_vehi_nuit_1200_scaled";"0.533783438096542";"0.120584135934241";"4.42664728623702";"9.57090394741822e-06"
"Pippyg";"H_veg_scaled";"0.323943657216726";"0.090483257582508";"3.58015024957888";"0.000343396696792182"
"Hypsav";"(Intercept)";"0.247817070440381";"0.273426992128383";"0.906337258481136";"0.364757370486488"
"Hypsav";"JJulien_scaled";"-0.403455132306223";"0.588999193553027";"-0.68498418456646";"0.493353901020023"
"Hypsav";"I(JJulien_scaled^2)";"-0.996592006286343";"0.579989385235565";"-1.71829352684028";"0.0857430894860838"
"Minsch";"(Intercept)";"-1.32379502448985";"0.298371810751046";"-4.43672953271846";"9.13359357549028e-06"
"Minsch";"JJulien_scaled";"0.492623144350504";"0.186459560752642";"2.64198382942679";"0.00824219909308022"
"Minsch";"I(JJulien_scaled^2)";"0.372537929891787";"0.167284143259698";"2.22697694253929";"0.0259488148334978"
"Nyclei";"(Intercept)";"-0.41472663557784";"0.341747932615904";"-1.213545411682";"0.224921363215254"
"Nyclei";"JJulien_scaled";"-0.450440455778119";"0.296145320571365";"-1.52101155915301";"0.128256936605541"
"Nyclei";"I(JJulien_scaled^2)";"-0.162407011805431";"0.240350170352895";"-0.675709992495432";"0.499224790419321"
"MyoGT";"(Intercept)";"-0.631147218457889";"0.808625929045204";"-0.780518155289831";"0.435085945393627"
"MyoGT";"JJulien_scaled";"-0.998722426447136";"0.481089311352326";"-2.07596053971717";"0.037897600735059"
"MyoGT";"I(JJulien_scaled^2)";"-0.104094043416878";"0.384749253242057";"-0.270550345555551";"0.786736890308483"
"MyoGT";"N_vehi_nuit_1200_scaled";"2.78993480288203";"1.80662702292159";"1.54427824198615";"0.122520941247094"
"Myodau";"(Intercept)";"-1.83408893962511";"0.59987862618507";"-3.0574333866319";"0.0022324125341366"
"Myodau";"JJulien_scaled";"-0.458677356074317";"0.580086750749364";"-0.790704761799492";"0.429116296699578"
"Myodau";"I(JJulien_scaled^2)";"0.493929526056107";"0.453407076323535";"1.08937321856807";"0.275989336563319"
"Myodau";"H_veg_scaled";"0.723059876130842";"0.308443032491293";"2.34422502687349";"0.0190666639236002"
"Eptser";"(Intercept)";"0.233034049859677";"0.632798387881607";"0.368259550470404";"0.712679710476613"
"Eptser";"JJulien_scaled";"0.743472443136681";"0.531408706226781";"1.39905958337725";"0.161795116285594"
"Eptser";"I(JJulien_scaled^2)";"0.0989856396883634";"0.741866670831508";"0.133427802569183";"0.893855058714483"
"Ouvert";"(Intercept)";"-0.430528898369602";"0.443138231554458";"-0.971545372782158";"0.33127677022729"
"Ouvert";"JJulien_scaled";"-0.155983127759279";"0.246213074837797";"-0.633529018968794";"0.52638823683908"
"Ouvert";"I(JJulien_scaled^2)";"-0.103991659234562";"0.192695210956447";"-0.539669142364241";"0.589425224148795"
"Ouvert";"D_houppier_scaled";"0.573619849034027";"0.212210857665038";"2.70306550449671";"0.00687032054033822"
"Ouvert";"PaysageFE";"-0.180965496936388";"0.804993487120619";"-0.224803678329974";"0.822132004424159"
"Ouvert";"PaysageDPT";"1.12470069678757";"0.522448810248317";"2.15274812522399";"0.031338479040337"
"Ouvert";"PaysageSPT";"-0.161698848860858";"0.546464961446959";"-0.295899756194255";"0.7673066372629"
"Ouvert";"PaysagePT";"-0.270158518705048";"0.723164183832508";"-0.373578399960719";"0.708718006592731"
"Ouvert";"PaysageNV";"2.02717950375515";"1.1796418291943";"1.71847034717285";"0.0857108586203674"
"SemiOuvert";"(Intercept)";"-0.507295665717854";"0.18936536604095";"-2.67892527722388";"0.00738588740379533"
"SemiOuvert";"JJulien_scaled";"0.0871825354610048";"0.0770658501853563";"1.13127325853561";"0.257940096049289"
"SemiOuvert";"I(JJulien_scaled^2)";"0.0208698690948449";"0.067297532811705";"0.31011343540985";"0.75647469560806"
"SemiOuvert";"N_vehi_nuit_1200_scaled";"0.652569009486821";"0.0812182631026138";"8.03475701841031";"9.37645323908387e-16"
"SemiOuvert";"H_veg_scaled";"0.152094715754635";"0.0665193283110956";"2.28647401614344";"0.0222265425488336"
