"";"Variables";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"Pippip";"(Intercept)";"1.38408682026091";"0.124678530132381";"11.1012442863364";"1.23709472827592e-28"
"Pippip";"JJulien_scaled";"-0.167107998173529";"0.0939367654328106";"-1.77894136979897";"0.0752493747106089"
"Pippip";"I(JJulien_scaled^2)";"-0.0516139703736961";"0.0937464322835299";"-0.550569969613277";"0.581928499714429"
"Pippip";"N_vehi_nuit_1200_scaled";"0.238261767510763";"0.102101136983782";"2.33358583997561";"0.0196174187554207"
"Pip35";"(Intercept)";"1.41815173628008";"0.113370813903807";"12.5089667035764";"6.66860354685383e-36"
"Pip35";"JJulien_scaled";"0.0238049949317949";"0.0950687584159435";"0.250397663001379";"0.802279836720544"
"Pip35";"I(JJulien_scaled^2)";"-0.120743896795672";"0.0894062656521024";"-1.35050822126394";"0.176853018358413"
"Pippyg";"(Intercept)";"1.55803631336992";"0.16667054717281";"9.34800023038562";"8.93204780505429e-21"
"Pippyg";"JJulien_scaled";"0.224361314983225";"0.122635001194158";"1.82950473191591";"0.0673240310946315"
"Pippyg";"I(JJulien_scaled^2)";"-0.059008645143241";"0.118515182497612";"-0.49789945810892";"0.618554909274706"
"Hypsav";"(Intercept)";"0.999376741144201";"0.381854674793073";"2.61716513405463";"0.00886634362028026"
"Hypsav";"JJulien_scaled";"0.645146808853884";"0.767806912902506";"0.840246158262713";"0.400770382899615"
"Hypsav";"I(JJulien_scaled^2)";"1.3757488365918";"1.09398588568908";"1.2575562944537";"0.208552267954734"
"Minsch";"(Intercept)";"1.07507961368208";"0.212178000677675";"5.06687597323184";"4.04397580987386e-07"
"Minsch";"JJulien_scaled";"0.219379717548209";"0.140164463073233";"1.56515933310134";"0.117545554247261"
"Minsch";"I(JJulien_scaled^2)";"0.0237152931717994";"0.126022618327267";"0.188182831674019";"0.850733330395079"
"Nyclei";"(Intercept)";"1.19319480999553";"0.341950210599013";"3.48938170824738";"0.000484139281634158"
"Nyclei";"JJulien_scaled";"-0.0145126415160499";"0.261111456642555";"-0.0555802556603892";"0.955676193887508"
"Nyclei";"I(JJulien_scaled^2)";"0.015240171661851";"0.218559899442893";"0.0697299536680702";"0.944408600221756"
"MyoGT";"(Intercept)";"1.53138618854311";"0.326171145528635";"4.69503881485639";"2.66556104812807e-06"
"MyoGT";"JJulien_scaled";"0.0582043966654979";"0.18380001359953";"0.316672428503273";"0.751492171730836"
"MyoGT";"I(JJulien_scaled^2)";"-0.280741559749946";"0.202122975647448";"-1.38896411380578";"0.164843662731593"
"Plesp";"(Intercept)";"1.41398378167353";"0.646983017828437";"2.18550370366673";"0.0288519346907274"
"Plesp";"JJulien_scaled";"0.313175946896184";"0.322834659910736";"0.970081548811325";"0.332005845297137"
"Plesp";"I(JJulien_scaled^2)";"-0.266306981536563";"0.347244618333034";"-0.766914640218137";"0.443132268587607"
"Eptser";"(Intercept)";"2.32279219675262";"0.481992087114666";"4.81915006251964";"1.44171087095021e-06"
"Eptser";"JJulien_scaled";"0.681215440491787";"0.471754623894573";"1.44400373835874";"0.148737923770161"
"Eptser";"I(JJulien_scaled^2)";"-0.664259485231167";"0.510411500844537";"-1.30141950981134";"0.193114899164681"
"Ouvert";"(Intercept)";"1.54879428868131";"0.303824595865601";"5.09765933949083";"3.4387893272125e-07"
"Ouvert";"JJulien_scaled";"0.198486101112007";"0.22785662729753";"0.871100847344802";"0.383699091512187"
"Ouvert";"I(JJulien_scaled^2)";"-0.175877590378985";"0.207131884011994";"-0.849109209902235";"0.395820526090478"
"SemiOuvert";"(Intercept)";"1.51464546385168";"0.116746252608027";"12.9738251122892";"1.72216803558547e-38"
"SemiOuvert";"JJulien_scaled";"0.0592086759833154";"0.069966892676456";"0.846238466771859";"0.397419726898243"
"SemiOuvert";"I(JJulien_scaled^2)";"-0.143881916098443";"0.0686944810019356";"-2.09451929761851";"0.0362137458500472"
"Ferme";"(Intercept)";"1.77440374640955";"0.289471600946633";"6.12980251122003";"8.79882233182374e-10"
"Ferme";"JJulien_scaled";"0.364299804255796";"0.204686395813227";"1.77979490433851";"0.0751095318680351"
"Ferme";"I(JJulien_scaled^2)";"-0.350773934609154";"0.195950250975675";"-1.79011730203243";"0.0734350558767995"
