"";"Variables";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"Pippip";"(Intercept)";"-1.7023643658557";"0.278896258059212";"-6.10393404953563";"1.03489002142012e-09"
"Pippip";"JJulien_scaled";"-0.00517680775749713";"0.0791173122106024";"-0.0654320478395042";"0.947830008257924"
"Pippip";"I(JJulien_scaled^2)";"-0.0872629824943143";"0.093305448285669";"-0.935239946837243";"0.349664656059092"
"Pippip";"PaysageFE";"-0.89954753647819";"0.393607513049108";"-2.28539219058544";"0.0222898415153"
"Pippip";"PaysageDPT";"-1.24080948341391";"0.371406798301658";"-3.34083675659086";"0.000835263178612164"
"Pippip";"PaysageSPT";"-1.03518143283492";"0.386274847633749";"-2.67990897977504";"0.0073642181498231"
"Pippip";"PaysagePT";"-0.65440436162548";"0.383461613843844";"-1.70657071790234";"0.0879018716535875"
"Pippip";"PaysageNV";"-1.50359048738857";"0.418197882186735";"-3.59540435624965";"0.000323888108465365"
"Pip35";"(Intercept)";"-1.20419896325914";"0.288310766186287";"-4.17673949255531";"2.9571736853492e-05"
"Pip35";"JJulien_scaled";"0.00838850963421529";"0.0962688806916016";"0.0871362539374273";"0.930563208491844"
"Pip35";"I(JJulien_scaled^2)";"0.0447629237836858";"0.0920684307046503";"0.486191884026811";"0.626831125096182"
"Pip35";"N_vehi_nuit_1200_scaled";"-0.309106531812275";"0.142574575553477";"-2.16803403139947";"0.0301560973524839"
"Pip35";"PaysageFE";"-1.34743175663426";"0.407186197869144";"-3.30912924771405";"0.000935866235142847"
"Pip35";"PaysageDPT";"-1.91930374988318";"0.397229299292654";"-4.83172755207353";"1.3535339801803e-06"
"Pip35";"PaysageSPT";"-1.37905960518723";"0.400960397771165";"-3.4393910542115";"0.000583024393924271"
"Pip35";"PaysagePT";"-1.63554418315071";"0.414850991567766";"-3.94248589588714";"8.06413938976488e-05"
"Pip35";"PaysageNV";"-1.83075139534085";"0.433442333297902";"-4.22374847747644";"2.40272192764355e-05"
"Pippyg";"(Intercept)";"-2.90736245741698";"0.171587576555903";"-16.9438983624188";"2.13495936512511e-64"
"Pippyg";"JJulien_scaled";"0.226642692085451";"0.125042275579981";"1.81252853112453";"0.0699045695531848"
"Pippyg";"I(JJulien_scaled^2)";"-0.0411253324248303";"0.12064215181849";"-0.340886927205217";"0.73318870660787"
"Hypsav";"(Intercept)";"-2.52992324804466";"0.461262482791419";"-5.48478001664984";"4.1398425289327e-08"
"Hypsav";"JJulien_scaled";"-1.38582584032856";"0.533095754814923";"-2.59958145945035";"0.0093337522826413"
"Hypsav";"I(JJulien_scaled^2)";"-1.00418032454059";"0.645665925413949";"-1.55526300059398";"0.119883445367271"
"Hypsav";"PaysageFE";"0.376874689526187";"0.594995332472672";"0.633407808360407";"0.526467367239444"
"Hypsav";"PaysageDPT";"-2.56940058414103";"0.788480490225467";"-3.25867363364476";"0.00111934355874395"
"Hypsav";"PaysageSPT";"-1.08510775796993";"0.84280122602785";"-1.28750139945106";"0.197919582138899"
"Hypsav";"PaysagePT";"-0.493717391209108";"1.27695756457971";"-0.386635707327994";"0.699025919273597"
"Hypsav";"PaysageNV";"-0.50571434589575";"0.672230464393284";"-0.752293108810799";"0.451874811098198"
"Minsch";"(Intercept)";"-3.60052242171064";"0.313010626694314";"-11.5028759877437";"1.27591866039641e-30"
"Minsch";"JJulien_scaled";"0.433015866663237";"0.210583883592223";"2.05626308754821";"0.0397571642164014"
"Minsch";"I(JJulien_scaled^2)";"-0.36527207617124";"0.15427578005814";"-2.36765664729477";"0.0179011401957738"
"Nyclei";"(Intercept)";"-3.2116193216147";"0.455325197741847";"-7.05346275045286";"1.74519243017815e-12"
"Nyclei";"JJulien_scaled";"0.376772217180748";"0.20272168241078";"1.85856891428755";"0.0630882667350468"
"Nyclei";"I(JJulien_scaled^2)";"-0.0048728386234286";"0.186431268675805";"-0.0261374535400616";"0.979147703653685"
"Nyclei";"PaysageFE";"-1.0529820219043";"0.656172320359877";"-1.6047339840955";"0.108552359627071"
"Nyclei";"PaysageDPT";"-1.17956584842854";"0.550316088940787";"-2.14343333246697";"0.0320783189751846"
"Nyclei";"PaysageSPT";"-0.136579156734027";"0.536723754295143";"-0.254468254182994";"0.799133826529402"
"Nyclei";"PaysagePT";"-0.742000104222291";"0.823846835978997";"-0.90065297555043";"0.367772858480559"
"Nyclei";"PaysageNV";"-2.46650755511003";"0.792478971536582";"-3.11239495772055";"0.00185576041784949"
"MyoGT";"(Intercept)";"-3.70497483818518";"0.415608474335839";"-8.91457962715004";"4.89670345012818e-19"
"MyoGT";"JJulien_scaled";"0.589957468034736";"0.280607154349652";"2.1024320260189";"0.0355154482263876"
"MyoGT";"I(JJulien_scaled^2)";"0.451431410791355";"0.242301401293853";"1.86309863822817";"0.0624483898071323"
"Plesp";"(Intercept)";"-3.69126977891228";"0.543293308356344";"-6.79424856175698";"1.0887852651546e-11"
"Plesp";"JJulien_scaled";"0.479069366865194";"0.33018708617873";"1.45090279698544";"0.146806928972095"
"Plesp";"I(JJulien_scaled^2)";"-0.113522538780375";"0.303497311913658";"-0.374047921757774";"0.708368663251799"
"Myodau";"(Intercept)";"-1.95262951971415";"0.18354659558099";"-10.6383314467555";"1.97636768455787e-26"
"Myodau";"JJulien_scaled";"0.248406855937272";"0.26350810109739";"0.94269153359146";"0.345838705151159"
"Myodau";"I(JJulien_scaled^2)";"-0.143183006839664";"0.214604902488092";"-0.667193550471702";"0.504648510261745"
"Eptser";"(Intercept)";"-4.77472043247208";"1.50231834025757";"-3.1782348018553";"0.00148174701158149"
"Eptser";"JJulien_scaled";"0.0292195304317219";"0.337587919844136";"0.0865538389087278";"0.93102615934678"
"Eptser";"I(JJulien_scaled^2)";"1.61370092004771";"0.479122713360416";"3.36803260427735";"0.000757066425202294"
"Eptser";"PaysageFE";"-1.30511283552145";"1.43379698269743";"-0.910249394629159";"0.36269099994559"
"Eptser";"PaysageDPT";"-0.404647384191742";"1.30705110227387";"-0.309588036372701";"0.756874255208768"
"Eptser";"PaysageSPT";"1.29135800314442";"1.58663679789777";"0.813896415900234";"0.415704294111731"
"Eptser";"PaysagePT";"1.46091589643934";"1.40237838847715";"1.04174159302737";"0.297531499715176"
"Eptser";"PaysageNV";"0.181581806883406";"1.46115435994329";"0.124272843350003";"0.901099248465328"
"Eptser";"D_houppier_scaled";"1.09322912318246";"0.310079781737635";"3.52563819884093";"0.000422463689940845"
"Ouvert";"(Intercept)";"-3.48442618800617";"0.731342950831188";"-4.76442164930426";"1.89396091028551e-06"
"Ouvert";"JJulien_scaled";"0.244099182694962";"0.173890867354124";"1.40374929637829";"0.160393517302847"
"Ouvert";"I(JJulien_scaled^2)";"0.134515625853542";"0.168051564690219";"0.800442567146004";"0.423454426634857"
"Ouvert";"PaysageFE";"-0.747161644710835";"0.585274207389116";"-1.2766010107363";"0.201743144862665"
"Ouvert";"PaysageDPT";"-1.00989617523613";"0.519811136311636";"-1.94281365805653";"0.0520386770724398"
"Ouvert";"PaysageSPT";"-0.0661682588447229";"0.522780491666145";"-0.126569869954097";"0.89928084540168"
"Ouvert";"PaysagePT";"0.0157911119571316";"0.611776341458324";"0.0258119036108678";"0.979407367304591"
"Ouvert";"PaysageNV";"-2.10770234828004";"0.708049951122078";"-2.97677069949637";"0.00291301790903401"
"SemiOuvert";"(Intercept)";"-1.55178174627873";"0.322533380552465";"-4.81122835602532";"1.50005509135943e-06"
"SemiOuvert";"JJulien_scaled";"0.114137359441647";"0.0575575944101915";"1.98301128827992";"0.0473661686489946"
"SemiOuvert";"I(JJulien_scaled^2)";"-0.0530951919303767";"0.061302824531815";"-0.866113304499067";"0.386428029831429"
"SemiOuvert";"PaysageFE";"-1.07099677244706";"0.372869066038554";"-2.87231328633822";"0.00407478789543481"
"SemiOuvert";"PaysageDPT";"-1.65807380860099";"0.356495404707491";"-4.65103837723086";"3.30267855142156e-06"
"SemiOuvert";"PaysageSPT";"-1.39645620021428";"0.363262514216304";"-3.84420672534012";"0.000120943023786761"
"SemiOuvert";"PaysagePT";"-1.23977409545871";"0.371211888824503";"-3.33980169488815";"0.000838382324329974"
"SemiOuvert";"PaysageNV";"-1.84625221835362";"0.384130868647854";"-4.8063104765635";"1.53741085764619e-06"
"Ferme";"(Intercept)";"-3.51177843511999";"0.361300427580966";"-9.71982916995861";"2.48197541434492e-22"
