Variable;Eptser;Eptser.1;Eptser.2;Hypsav;Hypsav.1;Hypsav.2;Minsch;Minsch.1;Minsch.2;Myodau;Myodau.1;Myodau.2;Myobly/myo;Myobly/myo;Myobly/myo;Nyclei;Nyclei.1;Nyclei.2;Pipkuh/nat;Pipkuh/nat;Pipkuh/nat;Pippip;Pippip.1;Pippip.2;Pippyg;Pippyg.1;Pippyg.2;Plesp;Plesp.1;Plesp.2;SRE;SRE;SRE;MRE;MRE;MRE;LRE;LRE;LRE
Type;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p
Intercept;-4.77;1.5;**;-2.53;0.46;***;-3.6;0.31;***;-1.95;0.18;***;-3.7;0.42;***;-3.21;0.46;***;-1.2;0.29;***;-1.7;0.28;***;-2.91;0.17;***;-3.69;0.54;***;-3.51;0.36;***;-1.55;0.32;***;-3.48;0.73;***
Dist.tree;1.09;0.31;***;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic;;;;;;;;;;;;;;;;;;;-0.31;0.14;*;;;;;;;;;;;;;;;;;;
DPT;-0.4;1.31;;-2.57;0.79;**;;;;;;;;;;-1.18;0.55;*;-1.92;0.4;***;-1.24;0.37;***;;;;;;;;;;-1.66;0.36;***;-1.01;0.52;.
FE;-1.31;1.43;;0.38;0.59;;;;;;;;;;;-1.05;0.66;;-1.35;0.41;***;-0.9;0.39;*;;;;;;;;;;-1.07;0.37;**;-0.75;0.59;
NV;0.18;1.46;;-0.51;0.67;;;;;;;;;;;-2.47;0.79;**;-1.83;0.43;***;-1.5;0.42;***;;;;;;;;;;-1.85;0.38;***;-2.11;0.71;**
PT;1.46;1.4;;-0.49;1.28;;;;;;;;;;;-0.74;0.82;;-1.64;0.41;***;-0.65;0.38;.;;;;;;;;;;-1.24;0.37;***;0.02;0.61;
SPT;1.29;1.59;;-1.09;0.84;;;;;;;;;;;-0.14;0.54;;-1.38;0.4;***;-1.04;0.39;**;;;;;;;;;;-1.4;0.36;***;-0.07;0.52;
JJulien_scaled;0.03;0.34;;-1.39;0.53;**;0.43;0.21;*;0.25;0.26;;0.59;0.28;*;0.38;0.2;.;0.01;0.1;;-0.01;0.08;;0.23;0.13;.;0.48;0.33;;0.38;0.15;*;0.11;0.06;*;0.24;0.17;
I(JJulien_scaled^2);1.61;0.48;***;-1;0.65;;-0.37;0.15;*;-0.14;0.21;;0.45;0.24;.;0;0.19;;0.04;0.09;;-0.09;0.09;;-0.04;0.12;;-0.11;0.3;;-0.1;0.14;;-0.05;0.06;;0.13;0.17;
